"BERN, ID",-111.385,42.3353,1817.8,412,636,419,788,1069,227,71,10,898,416,270,412
"CAMBRIDGE, ID",-116.6753,44.5733,807.7,690,1929,489,762,698,236,36,79,364,229,167,699
"COEUR D'ALENE, ID",-116.8017,47.6789,650.1,457,1102,206,710,645,451,66,383,395,385,272,616
"DWORSHAK FISH HATCHERY, ID",-116.3217,46.5022,303.3,883,819,410,1461,967,476,229,153,456,651,404,869
"GLENNS FERRY, ID",-115.3231,42.9403,751.6,382,481,203,286,343,15,122,15,92,138,99,271
"GRACE, ID",-111.7275,42.5872,1691.6,206,500,270,549,851,419,132,71,1250,185,117,173
"KELLOGG, ID",-116.1267,47.5311,707.1,768,1351,207,676,704,389,437,411,487,779,334,284
"LEWISTON AP, ID",-117.0156,46.3747,437.7,145,869,227,575,204,253,63,67,268,234,159,347
"LIFTON PUMPING STN, ID",-111.3139,42.1231,1806.2,128,193,361,455,947,153,33,244,943,110,202,263
"MACKAY LOST RIVER RS, ID",-113.6317,43.9181,1797.4,,,102,281,538,100,186,59,412,148,172,102
"MALAD CITY, ID",-112.2872,42.1492,1362.5,369,,76,,,,275,51,444,93,131,
"MOSCOW U OF I, ID",-116.9608,46.7244,810.8,603,917,230,1178,567,316,25,56,369,793,202,659
"OAKLEY, ID",-113.8981,42.2342,1389.6,183,412,270,312,1201,54,149,51,427,85,38,490
"PORTHILL, ID",-116.5031,48.9958,541,430,471,175,317,95,420,210,262,361,402,252,
"PRIEST RIVER EXP STN, ID",-116.8358,48.3514,725.4,807,977,312,673,260,272,168,305,418,620,529,1172
"SALMON-KSRA, ID",-113.9008,45.1875,1198.2,,,,316,165,102,269,88,287,82,21,153
"SANDPOINT EXP STN, ID",-116.5578,48.2928,640.1,446,532,118,599,309,137,131,126,432,335,441,1184
"ALEDO, IL",-90.7478,41.1961,219.5,783,672,650,978,3137,1195,438,513,2243,762,452,352
"AURORA, IL",-88.3092,41.7806,201.2,639,685,629,1239,3039,978,1532,802,2272,1801,439,462
"CHARLESTON, IL",-88.1653,39.4761,198.1,885,557,1879,1300,998,1938,975,1070,215,1609,766,705
"DANVILLE, IL",-87.6483,40.1389,170.1,731,600,1199,1268,1453,1242,324,635,1148,1184,526,550
"DECATUR WTP, IL",-88.9525,39.8275,189,808,429,1229,1425,1346,1298,285,1845,1287,1267,542,366
"DIXON 1 NW, IL",-89.5047,41.8472,213.4,999,1441,587,1151,2654,,,1060,2015,991,708,516
"DU QUOIN 4 SE, IL",-89.1931,37.9878,128,1416,1460,1384,1675,1664,1749,694,640,256,1657,1014,528
"GALVA, IL",-90.0356,41.1744,246.9,760,697,787,1039,2821,1631,186,617,4178,828,364,412
"HILLSBORO, IL",-89.4833,39.15,192,885,493,1444,1321,2363,1190,656,1451,204,1403,605,629
"HOOPESTON 1 NE, IL",-87.6561,40.4744,216.4,638,377,1204,1266,1313,1590,742,171,1107,1015,413,423
"JACKSONVILLE 2E, IL",-90.1978,39.7347,185.9,682,562,1201,1187,2465,1748,434,903,693,1072,527,479
"LA HARPE, IL",-90.9686,40.5839,210.3,523,415,1130,530,3181,1649,394,840,2041,709,376,300
"LINCOLN, IL",-89.3381,40.1514,177.7,817,630,1365,1367,1737,1313,311,884,1100,1204,501,380
"MINONK, IL",-89.0339,40.9125,228.6,618,693,882,1128,2815,735,582,1042,3887,1250,486,423
"MONMOUTH, IL",-90.6392,40.9247,227.1,763,659,1010,867,3237,1175,168,962,2498,808,268,384
"MORRISON, IL",-89.9744,41.8039,183.8,683,1001,566,1221,2434,1430,433,927,1852,776,587,393
"MT CARROLL, IL",-89.9842,42.0981,195.1,865,1023,557,1115,1855,1413,733,1163,2485,808,646,487
"MT VERNON 3 NE, IL",-88.8533,38.3483,149.4,1209,1161,1327,1385,2399,1467,995,1221,353,2026,1077,675
"OLNEY 2S, IL",-88.0819,38.7003,146.3,1186,1136,1200,1684,2132,2157,1290,805,274,1513,1024,854
"OTTAWA 5SW, IL",-88.9106,41.3283,160,735,646,674,1010,2693,1290,1165,834,2654,1210,394,389
"PALESTINE, IL",-87.6225,39.0028,140.2,993,1042,948,1676,2277,2504,1629,1344,188,1590,1016,725
